date,province,region,healthregion,cases,new_cases,deaths,new_deaths,recovered,new_recovered,lcases,ldeaths,lrecovered,deathrecovered,active,casesmv7,deathsmv7,recoveredmv7,activemv7,active14,active18,lactive14,lactive18,deathactive14,recoveredactive14,deathrecoveredactive14,deathactive18,recoveredactive18,deathrecoveredactive18,active14mv7,active18mv7,lactive14mv7,lactive18mv7,deathactive14mv7,recoveredactive14mv7,deathrecoveredactive14mv7,deathactive18mv7,recoveredactive18mv7,deathrecoveredactive18mv7
2020-01-25,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-01,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-02,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-03,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-04,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-05,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-06,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-07,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-08,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-02-09,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-02-10,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-02-11,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-02-12,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2020-02-13,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2020-02-14,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,
2020-02-15,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,
2020-02-16,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,
2020-02-17,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,
2020-02-18,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-02-19,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-02-20,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-02-21,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-02-22,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-02-23,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-02-24,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-02-25,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-02-26,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-02-27,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-02-28,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-02-29,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-01,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-02,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-03,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-04,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-05,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-06,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-07,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-08,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-09,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-10,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-11,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-12,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-13,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-14,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-15,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-16,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-17,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-18,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-19,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-20,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-21,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-22,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-23,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",3,3,0,0,0,0,1.0986123,,,0,3,.42857143,0,0,.42857143,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-24,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",5,2,0,0,0,0,1.6094379,,,0,5,1.1428572,0,0,1.1428572,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-25,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",5,0,0,0,0,0,1.6094379,,,0,5,1.8571428,0,0,1.8571428,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-26,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",11,6,0,0,0,0,2.3978953,,,0,11,3.4285715,0,0,3.4285715,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-27,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",18,7,0,0,0,0,2.8903718,,,0,18,6,0,0,6,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-28,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",24,6,1,1,0,0,3.1780539,0,,1,23,9.4285717,.14285715,0,9.2857141,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-29,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",27,3,1,0,0,0,3.2958369,0,,1,26,13.285714,.2857143,0,13,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-30,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",28,1,1,0,0,0,3.3322046,0,,1,27,16.857143,.42857143,0,16.428572,0,0,,,,,,,,,0,0,,,,,,,,
2020-03-31,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",34,6,1,0,0,0,3.5263605,0,,1,33,21,.5714286,0,20.428572,0,0,,,,,,,,,0,0,,,,,,,,
2020-04-01,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",41,7,1,0,0,0,3.713572,0,,1,40,26.142857,.71428573,0,25.428572,0,0,,,,,,,,,0,0,,,,,,,,
2020-04-02,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",47,6,1,0,0,0,3.8501475,0,,1,46,31.285715,.85714287,0,30.428572,0,0,,,,,,,,,0,0,,,,,,,,
2020-04-03,Quebec,Abitibi-Témiscamingue,"Abitibi-Témiscamingue, Quebec",58,11,1,0,0,0,4.0604429,0,,1,57,37,1,0,36,0,0,,,,,,,,,0,0,,,,,,,,
